inventory	rule	declared-disposition	control-acceptance-cells	acceptance-cells	responsibility-class	owning-layer	related-gaps	current-control-status	syntax-evidence	accepted-source-json	rejected-source-json	recovery-source-json	semantic-certification-outcome	command-positive-json	command-negative-json	coverage-boundary
s7	img	document-dependency		rule:R25;rule:R29	presentation-image/option-syntax	canonical retained renderer with explicit option whitelist		not-a-control-qualification-row	rule:R02	"""![](x)"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	info-block	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	"""(i)>x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	inline-mech-code	document-dependency		rule:R21	presentation-inline	canonical retained inline renderer		not-a-control-qualification-row	rule:R02	"""{{1}}"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	inline-paragraph	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	invariant-define	document-dependency		rule:R30;compiler:P11;compiler:P12;compiler:F20	executable-integrity-constraint	canonical invariant schema/value anchors and resident integrity owner		not-a-control-qualification-row	rule:R02	"""x!:=1 + 2"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	kind-define	document-dependency		rule:R12	compile-time-alias-declaration	canonical type environment	G10	not-a-control-qualification-row	rule:R02	"""<x>:=<u8>"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	left-alignment	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	""":-"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	load-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":load file.mec"",""expected"":""Load([file.mec])""}"	"{""source"":"":load"",""expected"":""Usage: :load <paths...>""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	ls-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":ls path"",""expected"":""Ls(Some(path))""}"	"{""source"":"":ls a b"",""expected"":""Usage: :ls [path]""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	match-expression	outside-document-closure	FUN01;FUN06;ACT05	rule:R11;control:FUN01;control:FUN06;control:ACT05	excluded-direct-entry;reachable-match-semantics-delegated	direct historical grammar rule excluded; expression match semantics owned by canonical expression/control	G09;G15;G19	blocked	rule:R02 disposition inventory only	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry			Only this direct grammar entry is excluded. Reachable language behavior remains required through the named canonical owners; this exclusion is not permission to remove match or Table capabilities.
s7	mech-code	document-dependency		compiler:F04;compiler:F09;compiler:F10;rule:R30;rule:R18	executable-unit-dispatch	canonical document collector; each reached statement keeps its own semantic owner		not-a-control-qualification-row	rule:R02	"""--"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	mech-code-alt	document-dependency		compiler:F04;compiler:F09;compiler:F10;rule:R30;rule:R18	executable-unit-dispatch	canonical document collector; each reached statement keeps its own semantic owner		not-a-control-qualification-row	rule:R02	"""--"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	mechdown-list	document-dependency		rule:R23	presentation-list/structural-item	canonical retained list renderer		not-a-control-qualification-row	rule:R02	"""- x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mechdown-table	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""| |"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mechdown-table-header	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""|x||-|"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mechdown-table-no-header	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""| |"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mechdown-table-row	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""| |"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mechdown-table-with-header	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""|x||-|| |"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	micro-mika	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""╭◉╮"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""╭◉╮"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika-arm-left	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""~"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika-arm-right	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""~"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika-expression-inner	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""¬◯¬"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika-eye-left	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""¬"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika-eye-right	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""¬"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika-nose	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""◉"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mika-section	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""⸢⸥"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	mini-mika	document-dependency		rule:R28;compiler:F07;compiler:F08	Mika-registry/structural-local-owner	canonical Mika registry, document namespace and renderer		not-a-control-qualification-row	rule:R02	"""(◉◯◉)"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	no-alignment	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""-"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	not-mech-code	document-dependency		rule:R29;compiler:F03	structural-code-boundary	canonical syntax boundary; enclosing document scope owns code execution		not-a-control-qualification-row	rule:R02	"""⸥"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	op-assign	document-dependency		rule:R14;catalog:C14;compiler:F02	executable-state-update/structural-target	canonical selected assignment and resident atomic state owner	G04	not-a-control-qualification-row	rule:R02	"""x += 1 + 2"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	option-map	document-dependency		rule:R25;rule:R29	presentation-image/option-syntax	canonical retained renderer with explicit option whitelist		not-a-control-qualification-row	rule:R02	"""{x:x}"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	option-mapping	document-dependency		rule:R25;rule:R29	presentation-image/option-syntax	canonical retained renderer with explicit option whitelist		not-a-control-qualification-row	rule:R02	"""x:x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	option-value	document-dependency		rule:R25;rule:R29	presentation-image/option-syntax	canonical retained renderer with explicit option whitelist		not-a-control-qualification-row	rule:R02	"""x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	ordered-list	document-dependency		rule:R23	presentation-list/structural-item	canonical retained list renderer		not-a-control-qualification-row	rule:R02	"""1.x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	ordered-list-item	document-dependency		rule:R23	presentation-list/structural-item	canonical retained list renderer		not-a-control-qualification-row	rule:R02	"""1.x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	paragraph	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	paragraph-element	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	paragraph-newline	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	parse	maintained-root		compiler:P01;compiler:F03;compiler:F04;rule:R18	maintained-document-root	canonical retained document admission and root scope collector		not-a-control-qualification-row	rule:R02	""""""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	parse-mech	maintained-root		compiler:P01;compiler:F03;compiler:F04;rule:R18	maintained-document-root	canonical retained document admission and root scope collector		not-a-control-qualification-row	rule:R02	""""""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	parse-repl-command	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":caps"",""expected"":""InvokeCommand(Capabilities)""}"	"{""source"":"":not-registered"",""expected"":""Unknown command""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	plan-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":plan"",""expected"":""Plan""}"	"{""source"":"":plan extra"",""expected"":""Usage: :plan""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	profile-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":profile"",""expected"":""Profile(None)""}"	"{""source"":"":profile invalid"",""expected"":""Usage: :profile [on|off]""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	program	document-dependency		compiler:F04;compiler:F09;compiler:F10;rule:R30;rule:R18	executable-unit-dispatch	canonical document collector; each reached statement keeps its own semantic owner		not-a-control-qualification-row	rule:R02	""""""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	prompt	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	""">:x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	question-block	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	"""(?)>x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	quit-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":quit"",""expected"":""Quit""}"	"{""source"":"":quit extra"",""expected"":""Usage: :quit""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	quote-block	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	""">x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	repl-identifier	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":""x := 1\n"",""expected"":""SubmitSource unchanged""}"	"{""source"":"":"",""expected"":""Enter :help for the command index""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	right-alignment	document-dependency		rule:R24	presentation-table/structural-alignment	canonical retained document renderer; no engine Table value		not-a-control-qualification-row	rule:R02	"""-:"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	save-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":save file.mec"",""expected"":""Save(file.mec)""}"	"{""source"":"":save a b"",""expected"":""Usage: :save <path>""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	section	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	""""""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	section-element	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	slice-ref	document-dependency		rule:R14;catalog:C14;compiler:F02	executable-state-update/structural-target	canonical selected assignment and resident atomic state owner	G04	not-a-control-qualification-row	rule:R02	"""x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	statement	document-dependency		compiler:F04;compiler:F09;compiler:F10;rule:R30;rule:R18	executable-unit-dispatch	canonical document collector; each reached statement keeps its own semantic owner		not-a-control-qualification-row	rule:R02	"""+> x"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	step-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":step 2"",""expected"":""Step { selector: None, count: 2 }""}"	"{""source"":"":step 0"",""expected"":""step count must be between 1 and 1000000.""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	strikethrough	document-dependency		rule:R21	presentation-inline	canonical retained inline renderer		not-a-control-qualification-row	rule:R02	"""~x~"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	strong	document-dependency		rule:R21	presentation-inline	canonical retained inline renderer		not-a-control-qualification-row	rule:R02	"""**x**"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	sublist	document-dependency		rule:R23	presentation-list/structural-item	canonical retained list renderer		not-a-control-qualification-row	rule:R02	"""- x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	subtitle	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""(1)x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	success-block	document-dependency		rule:R22	presentation-block	canonical retained document renderer		not-a-control-qualification-row	rule:R02	"""(+)>x\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	symbols-rpl	historical-command		rule:R03	excluded-document-command;runtime-request-owned	runtime typed REPL command registry and request parser		not-a-control-qualification-row	rule:R03	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	"{""source"":"":whos"",""expected"":""Whos([])""}"	"{""source"":"":symbols"",""expected"":""Unknown command; :s also rejects""}"	Historical grammar is absent from the canonical document closure. Exact current runtime request pair below is authoritative; the old command name does not imply its old spelling remains supported.
s7	table-column	outside-document-closure		rule:R31;schema:Q04;schema:Q12	excluded-direct-entry;active-table-semantics-delegated	unused direct grammar rule excluded; active header/row constructors own Table schemas		not-a-control-qualification-row	rule:R02 disposition inventory only	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry	not-an-active-certified-document-entry			Only this direct grammar entry is excluded. Reachable language behavior remains required through the named canonical owners; this exclusion is not permission to remove match or Table capabilities.
s7	title	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""x\n="""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	title-front-matter	document-dependency		rule:R20	presentation-metadata-with-inline-values	canonical retained document renderer and inline result owner		not-a-control-qualification-row	rule:R02	"""="""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
s7	tuple-destructure	document-dependency		rule:R16	executable-destructuring	canonical typed local binding environment		not-a-control-qualification-row	rule:R02	"""(x):=1 + 2"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			S7 direct sample proves syntax only and may be semantically incomplete. Listed whole-document/runtime cells own legal execution and rejection; no empty/undeclared sample certifies runtime success.
s7	ul-subtitle	document-dependency		rule:R19;rule:R18	presentation-document-structure	canonical document scope collector and retained renderer		not-a-control-qualification-row	rule:R02	"""1. x\n-\n"""	no-per-rule-rejection-case-in-S7-table	no-per-rule-recovery-case-in-S7-table	syntax-only			Typed document dependency has presentation/ownership behavior, not a standalone ProgramCompiler numeric evaluator. Named renderer/result tests and consumer boundaries provide its oracle.
